Product_Category,Product_Price,Order_Quantity,Return_Status,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Total_Value,Discount_Percentage,Price_Category,Age_Group,Order_Month,Order_Weekday,Is_Weekend
1,195.24,5,0,53,0,23,2,0,16.1,976.2,8.24626101208769,1,2,12,1,0
1,428,1,0,50,0,80,1,2,12.39,428,2.89485981308411,2,2,11,1,0
0,429.41,3,1,53,1,39,1,1,13.22,1288.23,3.07864278894297,2,2,7,5,1
4,280.61,2,0,32,1,92,1,0,2.34,561.22,0.833897580271551,1,1,6,5,1
0,142.71,2,0,60,0,73,1,1,19.05,285.42,13.348749211688,0,2,9,6,1
4,227.79,3,1,70,0,25,2,1,27.11,683.37,11.901312612494,1,3,11,1,0
2,394.08,3,1,62,1,21,0,1,12.27,1182.24,3.11358099878197,2,3,11,0,0
1,266.88,2,0,65,0,23,1,1,21.32,533.76,7.98860911270983,1,3,6,1,0
4,87.17,4,0,46,0,46,2,0,32.02,348.68,36.73282092463,0,2,5,4,0
4,312.45,4,1,30,0,2,3,1,33.19,1249.8,10.622499599936,1,1,8,2,0
4,481.58,3,1,39,1,97,1,1,22.71,1444.74,4.71572739731716,2,1,3,3,0
1,283.14,5,1,62,1,38,0,2,17.53,1415.7,6.19128346401074,1,3,7,0,0
4,84.9,5,0,67,0,38,2,1,46.26,424.5,54.4876325088339,0,3,2,2,0
2,332.39,5,1,36,1,49,1,1,24.31,1661.95,7.31369776467403,1,1,5,0,0
2,139.6,5,0,34,1,17,3,2,13.87,698,9.93553008595989,0,1,5,1,0
0,185.34,2,0,31,0,28,3,2,36.01,370.68,19.4291572245603,1,1,4,6,1
4,64.29,2,0,39,1,53,1,0,47.4,128.58,73.7284181054596,0,1,5,6,1
2,231.65,5,1,58,1,6,1,2,45.83,1158.25,19.7841571336067,1,2,8,2,0
2,44.48,1,0,50,1,78,1,0,27.66,44.48,62.1852517985612,0,2,4,6,1
1,429.47,5,1,39,1,1,2,2,44.36,2147.35,10.3290101753324,2,1,3,3,0
2,496.22,5,1,67,1,30,2,1,32.87,2481.1,6.62407802990609,2,3,3,4,0
2,52.19,1,0,21,0,2,1,2,35.14,52.19,67.3309063038896,0,0,6,3,0
0,427.29,3,1,51,1,21,3,2,46.46,1281.87,10.8731774672939,2,2,11,0,0
3,283.68,3,1,49,1,95,0,1,38.31,851.04,13.5046531302877,1,2,4,3,0
3,255.78,2,1,63,0,48,0,1,34.49,511.56,13.4842442724216,1,3,3,2,0
0,478.47,4,1,22,0,69,3,2,9.06,1913.88,1.89353564486802,2,0,8,3,0
2,78.94,2,0,23,0,0,0,0,49.94,157.88,63.2632379022042,0,0,12,1,0
3,481.66,3,1,28,1,34,3,1,20.8,1444.98,4.3183988705726,2,1,7,0,0
4,193.16,3,0,56,1,3,3,0,26.81,579.48,13.8796852350383,1,2,10,3,0
4,99.21,1,0,29,0,9,3,1,30.21,99.21,30.4505594194134,0,1,12,2,0
3,394.71,4,1,66,0,18,2,1,16.01,1578.84,4.0561424843556,2,3,10,0,0
3,230.9,2,0,69,1,1,0,1,26.62,461.8,11.5288003464703,1,3,7,5,1
1,296.56,1,0,39,0,97,2,2,32.02,296.56,10.797140544915,1,1,4,2,0
0,490.55,1,0,62,1,1,3,2,17.9,490.55,3.6489654469473,2,3,2,0,0
4,496.31,4,1,53,1,87,2,1,10.15,1985.24,2.04509278475147,2,2,6,6,1
4,104.39,2,0,58,0,41,0,2,28.68,208.78,27.4738959670467,0,2,12,6,1
1,434.25,5,1,18,0,82,2,0,7.11,2171.25,1.63730569948187,2,0,2,2,0
0,46.61,1,0,42,1,4,0,1,8.9,46.61,19.0946148895087,0,2,12,3,0
1,284.49,4,1,48,0,55,0,1,39.82,1137.96,13.9969770466449,1,2,10,0,0
0,169.93,5,0,40,1,35,0,1,27.73,849.65,16.3184840816807,0,1,5,2,0
0,146.37,4,1,23,0,63,1,0,42.55,585.48,29.0701646512263,0,0,9,3,0
2,444.43,4,1,48,0,20,1,1,28.53,1777.72,6.41945863240555,2,2,9,6,1
3,35.16,3,0,48,0,20,3,1,3.9,105.48,11.0921501706485,0,2,4,0,0
3,287.93,4,0,66,0,6,1,2,3.37,1151.72,1.17042336679054,1,3,6,0,0
0,448.84,2,1,60,1,13,2,0,26.3,897.68,5.85954905979859,2,2,9,6,1
4,168.68,2,0,48,1,15,3,2,44.53,337.36,26.3990988854636,0,2,10,0,0
0,466.62,3,1,24,1,82,1,0,8.36,1399.86,1.79160773220179,2,0,10,3,0
1,51.56,4,0,37,1,95,0,0,44.74,206.24,86.7726920093095,0,1,8,1,0
4,79.31,1,0,37,0,30,2,1,29.18,79.31,36.7923338797125,0,1,5,4,0
3,315.11,5,1,50,0,69,3,0,37.68,1575.55,11.9577290469995,1,2,8,5,1
1,259.57,2,1,55,0,90,0,1,40.28,519.14,15.5179720306661,1,2,5,6,1
1,137.72,3,0,45,1,78,1,2,1.13,413.16,0.820505373221028,0,2,3,6,1
2,464.67,4,1,54,1,19,2,2,19.21,1858.68,4.13411668495922,2,2,1,5,1
4,197.66,4,1,59,0,89,0,1,42.31,790.64,21.4054436911869,1,2,6,4,0
0,79.9,4,0,42,0,71,3,0,22.19,319.6,27.7722152690864,0,2,9,1,0
2,265.23,4,1,57,1,88,0,1,49.85,1060.92,18.795008106172,1,2,2,6,1
0,91.84,2,0,56,0,67,0,1,31.58,183.68,34.3858885017422,0,2,12,0,0
1,468.62,2,1,31,1,20,2,1,46.77,937.24,9.98036788869447,2,1,4,3,0
0,245.44,5,1,29,0,28,3,2,25.44,1227.2,10.3650586701434,1,1,8,3,0
4,116.2,2,0,37,1,66,2,1,48.36,232.4,41.617900172117,0,1,9,2,0
3,400.21,3,1,69,0,13,3,2,36.32,1200.63,9.07523550136179,2,3,6,2,0
2,490.8,2,1,37,0,16,0,0,43.37,981.6,8.83659331703342,2,1,7,3,0
0,310.14,2,0,54,1,62,3,0,22.6,620.28,7.28703166311988,1,2,3,3,0
3,247.46,2,1,48,1,48,2,1,19.97,494.92,8.06999110967429,1,2,12,4,0
3,255.71,2,0,57,1,74,0,2,7.64,511.42,2.98775957138946,1,2,1,5,1
0,172.02,1,0,46,0,3,0,1,2.75,172.02,1.598651319614,1,2,3,6,1
1,170.05,2,0,23,1,52,1,0,35.55,340.1,20.9056159952955,0,0,12,4,0
4,314.35,3,0,22,1,23,0,2,15.81,943.05,5.02942579926833,1,0,4,1,0
2,319.34,1,0,54,1,74,2,1,18.74,319.34,5.86835347905054,1,2,2,6,1
0,219.29,2,0,56,1,56,0,0,32.59,438.58,14.8615987961147,1,2,5,4,0
2,174.94,1,0,62,0,43,3,1,22.43,174.94,12.8215388133074,1,3,2,2,0
3,85.28,2,0,20,0,68,0,0,1.55,170.56,1.81754221388368,0,0,3,0,0
0,18.83,1,0,27,1,19,2,2,1.57,18.83,8.33775889537971,0,1,1,2,0
2,291.09,4,1,19,0,6,1,0,8.37,1164.36,2.87539936102236,1,0,5,4,0
4,386.51,1,0,27,1,46,0,2,10.19,386.51,2.63641302941709,2,1,1,0,0
2,285.21,4,1,32,1,39,1,1,40.21,1140.84,14.0983836471372,1,1,7,2,0
1,238.63,2,0,46,0,20,0,0,20.89,477.26,8.75413820559025,1,2,8,1,0
0,16.55,4,0,21,0,26,0,0,22.61,66.2,136.616314199396,0,0,4,1,0
3,161.94,5,1,68,0,58,2,2,35.96,809.7,22.205755217982,0,3,10,2,0
1,173.42,1,0,33,0,28,2,0,26.04,173.42,15.0155691385077,1,1,7,5,1
2,199.13,4,0,50,0,9,0,0,4.82,796.52,2.42052930246573,1,2,10,1,0
2,219.56,1,0,24,0,3,1,2,1.05,219.56,0.478229185644015,1,0,1,6,1
4,288.71,3,1,60,1,53,0,0,42.11,866.13,14.5855702954522,1,2,8,5,1
1,66.65,2,0,58,0,90,3,0,38.8,133.3,58.2145536384096,0,2,10,1,0
1,328.09,3,0,59,0,22,2,1,8.73,984.27,2.66085525313176,1,2,10,5,1
1,222.62,3,0,53,0,77,3,0,10.03,667.86,4.50543527086515,1,2,12,2,0
4,404.5,1,1,31,0,75,2,0,44.89,404.5,11.097651421508,2,1,10,6,1
4,438.43,4,1,32,1,4,0,0,26.75,1753.72,6.10131605957622,2,1,10,1,0
0,402.79,2,0,23,0,31,3,1,2.22,805.58,0.551155689068746,2,0,9,6,1
4,140.06,1,0,42,1,35,2,1,33.08,140.06,23.6184492360417,0,2,10,6,1
3,255.92,1,0,18,0,80,1,2,33.02,255.92,12.9024695217255,1,0,7,4,0
1,444.83,1,1,20,0,12,3,0,26.84,444.83,6.0337657082481,2,0,10,6,1
2,27.23,3,0,42,1,52,0,0,49.27,81.69,180.940139551965,0,2,8,2,0
0,332.49,4,1,66,0,38,0,0,34.21,1329.96,10.2890312490601,1,3,6,3,0
3,469.69,5,1,28,0,19,2,0,22.43,2348.45,4.77549021695161,2,1,2,3,0
0,31.93,5,0,40,1,94,1,2,5.75,159.65,18.0081428124021,0,1,6,2,0
0,24.41,5,0,69,1,34,0,1,22.26,122.05,91.1921343711594,0,3,7,5,1
1,217.79,4,1,40,1,59,3,0,34.27,871.16,15.7353413839019,1,1,9,4,0
1,434.66,2,1,19,0,80,1,2,49.39,869.32,11.3629043390236,2,0,11,5,1
0,32.48,2,0,57,0,42,2,2,9.27,64.96,28.5406403940887,0,2,4,1,0
4,231.11,5,1,40,0,56,0,1,21.38,1155.55,9.25100601445199,1,1,7,5,1
4,291.43,4,0,22,1,71,3,0,8.13,1165.72,2.78969220739114,1,0,4,3,0
2,128.65,1,0,37,0,59,1,1,1.9,128.65,1.47687524290711,0,1,6,6,1
0,396.48,5,1,69,1,30,1,0,39.19,1982.4,9.88448345439871,2,3,10,6,1
0,300.03,1,1,42,1,90,0,1,46.37,300.03,15.4551211545512,1,2,3,1,0
0,324.85,5,1,51,0,63,1,0,20.53,1624.25,6.31983992611975,1,2,11,5,1
4,443.71,3,1,19,0,96,0,0,46.28,1331.13,10.4302359649321,2,0,9,4,0
0,458.16,5,1,24,0,54,3,0,5.2,2290.8,1.13497468133403,2,0,3,1,0
1,118.2,5,1,32,1,93,2,2,43.34,591,36.6666666666667,0,1,12,4,0
3,138.23,2,0,28,0,95,3,0,42.31,276.46,30.6084062793894,0,1,12,6,1
4,47.05,3,0,43,0,22,2,0,45.62,141.15,96.9606801275239,0,2,8,0,0
4,9.03,5,0,39,1,29,0,2,37.1,45.15,410.852713178295,0,1,6,0,0
4,143.73,2,0,49,0,14,3,1,7.07,287.46,4.91894524455577,0,2,2,6,1
1,381.39,1,1,24,0,73,1,1,45.86,381.39,12.0244369280789,2,0,9,1,0
2,140.05,5,0,67,0,71,3,1,22.06,700.25,15.7515173152446,0,3,8,0,0
4,326.97,4,1,26,0,58,3,1,17.41,1307.88,5.32464752117931,1,1,7,3,0
0,130.9,2,0,59,1,69,2,0,14.17,261.8,10.8250572956455,0,2,4,2,0
2,80.81,5,1,61,1,16,2,2,30.75,404.05,38.0522212597451,0,3,1,4,0
1,233.21,1,0,54,0,33,1,2,2.79,233.21,1.19634664036705,1,2,5,5,1
2,244.32,5,0,56,0,35,3,2,27.21,1221.6,11.1370333988212,1,2,9,6,1
1,69.89,4,0,41,1,20,0,0,32.4,279.56,46.3585634568608,0,2,10,1,0
4,340.06,3,1,56,0,92,0,1,27.27,1020.18,8.01917308710228,2,2,3,4,0
4,191.81,4,0,34,0,77,1,0,7.94,767.24,4.13951305979876,1,1,11,4,0
0,488.64,4,1,25,1,2,2,2,17.8,1954.56,3.64276358873608,2,0,12,2,0
1,360.81,3,1,61,1,1,3,1,49,1082.43,13.5805548626701,2,3,5,4,0
3,142.79,1,0,56,1,56,3,1,19.22,142.79,13.4603263533861,0,2,9,1,0
1,356.89,2,1,36,0,27,1,2,32.57,713.78,9.12606125136597,2,1,7,2,0
1,406.41,1,1,36,1,63,1,0,49.99,406.41,12.300386309392,2,1,10,1,0
0,55.35,3,0,62,0,40,1,0,30.11,166.05,54.3992773261066,0,3,2,2,0
4,323.29,1,1,55,1,58,2,0,40.46,323.29,12.5150793405302,1,2,12,4,0
1,178.98,4,0,27,1,38,0,1,21.41,715.92,11.9622304168064,1,1,9,0,0
3,482.75,3,1,32,0,35,0,2,42.34,1448.25,8.77058518902123,2,1,4,5,1
1,136.22,2,0,20,0,34,0,0,25.96,272.44,19.0574071355161,0,0,1,0,0
3,182.01,4,1,24,1,6,3,1,27.82,728.04,15.2848744574474,1,0,7,4,0
2,6.5,5,0,51,1,72,0,0,23.83,32.5,366.615384615385,0,2,4,2,0
2,124.46,4,1,63,1,66,1,2,49.97,497.84,40.1494456050137,0,3,1,5,1
3,13.04,5,0,44,0,26,0,1,32.34,65.2,248.006134969325,0,2,2,3,0
3,252.78,1,0,45,1,56,2,2,18.98,252.78,7.50850541973257,1,2,6,6,1
1,82.57,5,1,62,0,73,0,1,44.8,412.85,54.2569940656413,0,3,6,0,0
2,47.64,1,0,19,1,93,2,1,33.04,47.64,69.3534844668346,0,0,6,0,0
2,323.61,2,0,33,0,14,0,0,9.07,647.22,2.80275640431383,1,1,10,3,0
1,325.87,4,1,60,1,19,0,0,27.15,1303.48,8.33154325344463,1,2,4,6,1
1,362.81,5,1,37,1,4,2,0,21.11,1814.05,5.81847247870786,2,1,4,1,0
3,317.9,4,1,68,1,98,0,1,29.84,1271.6,9.38659955960994,1,3,12,5,1
4,419.62,1,1,19,1,93,3,2,40.75,419.62,9.71116724655641,2,0,8,1,0
3,279.06,5,1,54,1,38,1,0,42.67,1395.3,15.290618504981,1,2,8,3,0
2,435,3,1,64,1,2,1,2,8.42,1305,1.93563218390805,2,3,11,0,0
2,358.69,5,1,68,0,31,2,2,49.22,1793.45,13.7221556218462,2,3,7,5,1
1,321.88,1,0,60,0,68,0,0,13.48,321.88,4.18789611035168,1,2,6,3,0
0,198.21,2,1,67,0,55,1,1,47.3,396.42,23.8635790323394,1,3,12,0,0
4,54.72,5,0,69,1,12,1,1,7.16,273.6,13.0847953216374,0,3,10,6,1
2,488.4,3,1,51,0,90,1,2,19.88,1465.2,4.07043407043407,2,2,11,1,0
0,270.92,1,0,36,0,20,3,2,19.62,270.92,7.24199025542596,1,1,7,1,0
4,465.76,1,1,66,0,63,0,1,22.73,465.76,4.88019580900034,2,3,11,6,1
4,102.7,1,0,53,1,18,3,1,35.21,102.7,34.284323271665,0,2,2,0,0
4,489.62,1,1,61,0,95,3,1,32.34,489.62,6.6051223397737,2,3,5,0,0
1,221.05,2,0,29,0,14,3,0,18.29,442.1,8.27414612078715,1,1,11,2,0
1,393.44,3,1,52,1,67,2,2,33.6,1180.32,8.54005693371289,2,2,12,5,1
1,128.35,3,0,37,1,61,2,2,15.47,385.05,12.0529801324503,0,1,11,3,0
4,144.86,4,0,64,1,15,1,1,7.51,579.44,5.1843158912053,0,3,4,2,0
3,179.56,2,1,28,0,43,0,0,45.92,359.12,25.5736244152372,1,1,1,0,0
1,409.65,2,1,64,1,16,0,0,43.1,819.3,10.5211766141828,2,3,6,4,0
3,170.03,3,0,21,1,72,3,2,23.19,510.09,13.638769628889,0,0,3,4,0
0,367.8,5,1,61,1,76,2,2,21.98,1839,5.97607395323546,2,3,11,0,0
0,143.01,4,1,50,1,67,3,2,46.55,572.04,32.5501713166911,0,2,7,4,0
0,277.15,1,0,67,1,93,0,1,46.01,277.15,16.601118527873,1,3,9,0,0
0,261.91,3,1,65,1,68,0,2,48.16,785.73,18.3879958764461,1,3,10,0,0
3,427.99,2,1,62,1,29,1,1,15.63,855.98,3.65195448491787,2,3,6,1,0
3,130.63,1,0,40,0,49,2,1,12.37,130.63,9.46949399066065,0,1,5,4,0
4,185.67,5,0,33,1,30,3,2,14.27,928.35,7.68567889265902,1,1,11,3,0
3,345.5,5,1,56,1,54,2,2,23.75,1727.5,6.87409551374819,2,2,9,5,1
0,427.1,4,0,44,1,0,1,0,8.08,1708.4,1.89182861156638,2,2,4,4,0
4,54.41,2,0,61,1,79,1,0,22.8,108.82,41.9040617533542,0,3,1,4,0
3,273.54,1,0,22,0,77,3,1,12.52,273.54,4.57702712583169,1,0,10,4,0
3,329.59,4,0,41,1,15,3,2,8.74,1318.36,2.65177948360084,1,2,10,2,0
3,359.73,5,1,50,0,83,3,2,11.7,1798.65,3.25243932949712,2,2,12,6,1
4,378.25,5,1,27,1,71,1,2,23.41,1891.25,6.18902842035691,2,1,6,0,0
1,150.56,5,0,50,1,81,2,2,4.04,752.8,2.68331562167907,0,2,10,3,0
4,291.63,1,0,53,1,88,2,0,13.87,291.63,4.75602647189932,1,2,12,3,0
1,151.4,1,0,24,1,6,1,0,39.16,151.4,25.8652575957728,0,0,3,5,1
1,89.8,5,0,43,0,21,3,2,7.86,449,8.75278396436526,0,2,2,3,0
1,246.71,3,0,18,1,42,2,2,1.18,740.13,0.478294353694621,1,0,1,4,0
4,150.75,2,0,24,0,22,1,0,25.88,301.5,17.167495854063,0,0,8,1,0
2,478.53,1,1,64,0,81,0,2,32.12,478.53,6.71222284914216,2,3,7,0,0
1,72.07,3,0,67,0,5,1,1,39.03,216.21,54.1556819758568,0,3,2,4,0
4,331.08,3,1,65,1,54,2,1,33.08,993.24,9.99154282952761,1,3,8,4,0
0,27.39,3,0,56,0,99,1,0,42.79,82.17,156.224899598394,0,2,6,0,0
3,341.03,4,0,69,0,59,2,0,2.42,1364.12,0.709614989883588,2,3,2,5,1
4,299.98,4,1,43,0,78,0,1,35.3,1199.92,11.7674511634109,1,2,2,0,0
2,14.88,4,0,41,1,79,0,2,18.97,59.52,127.486559139785,0,2,10,4,0
3,80.88,3,1,35,0,41,3,1,46.78,242.64,57.8387734915925,0,1,1,2,0
3,450.4,5,1,42,0,18,2,0,30.89,2252,6.85834813499112,2,2,4,2,0
4,382.22,5,1,51,1,0,1,0,26.81,1911.1,7.01428496677306,2,2,12,0,0
0,485.32,4,1,60,0,16,0,0,6.08,1941.28,1.25278166982609,2,2,10,5,1
1,80.4,4,0,50,0,77,2,0,9.56,321.6,11.8905472636816,0,2,8,1,0
4,46.83,5,0,27,1,62,1,2,17.12,234.15,36.5577621183002,0,1,5,2,0
0,121.7,2,0,25,1,52,0,0,30.07,243.4,24.7082990961381,0,0,7,2,0
2,35.8,2,0,65,0,15,3,0,9.85,71.6,27.5139664804469,0,3,10,4,0
3,395.28,4,0,47,1,22,0,0,6.27,1581.12,1.58621736490589,2,2,1,6,1
1,409.57,2,1,36,1,97,1,2,29.37,819.14,7.17093537124301,2,1,10,0,0
1,48.49,2,0,27,1,75,0,2,48.7,96.98,100.433078985358,0,1,5,5,1
0,365.3,4,1,70,1,57,1,2,25.2,1461.2,6.89843963865316,2,3,3,5,1
0,223.1,5,1,25,0,76,2,0,48.21,1115.5,21.6091438816674,1,0,5,0,0
4,266.83,3,0,60,1,75,2,1,1.65,800.49,0.618371247610838,1,2,12,6,1
4,333.67,5,1,61,0,11,3,0,40.16,1668.35,12.0358437977643,1,3,5,1,0
0,104.54,1,0,33,0,16,2,1,10.73,104.54,10.2640137746317,0,1,7,4,0
2,359.03,2,1,46,1,44,3,0,44.86,718.06,12.494777595187,2,2,12,3,0
1,385.95,4,1,58,1,78,1,2,12.61,1543.8,3.26726259878223,2,2,9,3,0
1,354.81,3,1,64,1,17,2,1,29.05,1064.43,8.18748062343226,2,3,12,3,0
1,282.89,1,1,21,0,84,1,2,47.82,282.89,16.9040969988335,1,0,9,2,0
0,394.63,3,0,26,0,69,3,2,1.41,1183.89,0.357296708309049,2,1,6,6,1
0,337.22,3,0,31,0,42,3,2,6.54,1011.66,1.9393867504893,2,1,10,2,0
2,392.03,5,0,21,1,22,1,2,2.16,1960.15,0.550978241461113,2,0,1,4,0
3,210.46,3,0,26,1,19,2,0,6.82,631.38,3.24052076404067,1,1,5,6,1
3,394.61,4,1,18,0,95,2,0,22.17,1578.44,5.61820531664175,2,0,9,4,0
0,182.75,5,0,70,1,55,3,1,18.41,913.75,10.0738714090287,1,3,7,0,0
0,161.86,3,0,39,1,4,0,1,26.28,485.58,16.2362535524527,0,1,6,1,0
3,418.05,5,1,33,0,89,2,2,48.85,2090.25,11.6852051190049,2,1,6,4,0
0,124.04,2,0,58,0,19,3,1,28.38,248.08,22.879716220574,0,2,5,2,0
1,12.83,4,0,40,0,66,0,0,15.24,51.32,118.784099766173,0,1,12,4,0
3,296.09,1,0,54,1,83,1,0,13.5,296.09,4.55942449930764,1,2,11,0,0
2,411.49,2,0,49,1,33,2,2,21.99,822.98,5.34399377870665,2,2,7,4,0
1,389.91,2,1,44,1,17,3,0,35.5,779.82,9.1046651791439,2,2,11,5,1
1,119.65,3,0,40,1,59,2,1,19.25,358.95,16.0885917258671,0,1,12,3,0
2,362.72,3,0,49,0,31,0,0,16.94,1088.16,4.67026907807675,2,2,6,2,0
4,257.04,5,1,69,1,74,0,0,42.48,1285.2,16.5266106442577,1,3,5,0,0
0,338.15,5,0,29,0,99,3,1,1.29,1690.75,0.381487505544877,2,1,2,3,0
3,433.58,5,1,30,1,74,2,1,17.84,2167.9,4.11458093085475,2,1,4,1,0
3,431.36,5,1,29,0,4,1,0,40.2,2156.8,9.31936201780416,2,1,1,1,0
1,181.12,5,1,59,1,72,0,2,31.29,905.6,17.2758392226148,1,2,5,5,1
0,401.31,2,0,50,1,79,2,2,18.01,802.62,4.48780244698612,2,2,1,2,0
2,494.96,2,1,50,0,54,2,2,0.54,989.92,0.109099725230322,2,2,9,0,0
2,418.25,2,1,22,1,51,3,2,11.96,836.5,2.85953377166766,2,0,5,2,0
1,477.66,3,1,67,1,12,3,1,29.89,1432.98,6.25758908009882,2,3,3,3,0
3,372.61,2,0,51,0,91,2,1,0.2,745.22,0.053675424706798,2,2,7,3,0
2,449.62,1,0,67,0,29,2,0,5.68,449.62,1.26328899959966,2,3,6,4,0
